id,league_name,season,home_team,away_team,home_goals,away_goals
1540,Premier League,1996/1997,Blackburn,West Ham,2,1
1541,Premier League,1996/1997,Derby,Liverpool,0,1
1542,Premier League,1996/1997,Everton,Nott'm Forest,2,0
1543,Premier League,1996/1997,Leeds,Arsenal,0,0
1544,Premier League,1996/1997,Man United,Southampton,2,1
1545,Premier League,1996/1997,Sheffield Weds,Coventry,0,0
1546,Premier League,1996/1997,Tottenham,Chelsea,1,2
1547,Premier League,1996/1997,Wimbledon,Middlesbrough,1,1
1548,Premier League,1996/1997,Newcastle,Leicester,4,3
1549,Premier League,1996/1997,Derby,West Ham,1,0
1550,Premier League,1996/1997,Tottenham,Arsenal,0,0
1551,Premier League,1996/1997,Arsenal,Man United,1,2
1552,Premier League,1996/1997,Aston Villa,Coventry,2,1
1553,Premier League,1996/1997,Derby,Sheffield Weds,2,2
1554,Premier League,1996/1997,Liverpool,Leeds,4,0
1555,Premier League,1996/1997,Chelsea,Man United,1,1
1556,Premier League,1996/1997,Coventry,Everton,0,0
1557,Premier League,1996/1997,Leicester,Derby,4,2
1558,Premier League,1996/1997,Liverpool,Blackburn,0,0
1559,Premier League,1996/1997,Middlesbrough,Newcastle,0,1
1560,Premier League,1996/1997,Nott'm Forest,Aston Villa,0,0
1561,Premier League,1996/1997,Southampton,Sheffield Weds,2,3
1562,Premier League,1996/1997,Sunderland,Leeds,0,1
1563,Premier League,1996/1997,Arsenal,Wimbledon,0,1
1564,Premier League,1996/1997,West Ham,Tottenham,4,3
1565,Premier League,1996/1997,Southampton,Wimbledon,0,0
1566,Premier League,1996/1997,Blackburn,Sunderland,1,0
1567,Premier League,1996/1997,Derby,Chelsea,3,2
1568,Premier League,1996/1997,Everton,Arsenal,0,2
1569,Premier League,1996/1997,Leeds,West Ham,1,0
1570,Premier League,1996/1997,Man United,Coventry,3,1
1571,Premier League,1996/1997,Newcastle,Southampton,0,1
1572,Premier League,1996/1997,Sheffield Weds,Middlesbrough,3,1
1573,Premier League,1996/1997,Tottenham,Nott'm Forest,0,1
1574,Premier League,1996/1997,Wimbledon,Leicester,1,3
1575,Premier League,1996/1997,Aston Villa,Liverpool,1,0
1576,Premier League,1996/1997,Coventry,Wimbledon,1,1
1577,Premier League,1996/1997,Sunderland,Tottenham,0,4
1578,Premier League,1996/1997,Chelsea,Blackburn,1,1
1579,Premier League,1996/1997,Leicester,Aston Villa,1,0
1580,Premier League,1996/1997,Middlesbrough,Derby,6,1
1581,Premier League,1996/1997,Nott'm Forest,Sheffield Weds,0,3
1582,Premier League,1996/1997,Southampton,Everton,2,2
1583,Premier League,1996/1997,Arsenal,Nott'm Forest,2,0
1584,Premier League,1996/1997,Coventry,Leicester,0,0
1585,Premier League,1996/1997,Leeds,Everton,1,0
1586,Premier League,1996/1997,Sunderland,Man United,2,1
1587,Premier League,1996/1997,Liverpool,Newcastle,4,3
1588,Premier League,1996/1997,Blackburn,Nott'm Forest,1,1
1589,Premier League,1996/1997,Leeds,Southampton,0,0
1590,Premier League,1996/1997,Sheffield Weds,Sunderland,2,1
1591,Premier League,1996/1997,West Ham,Chelsea,3,2
1592,Premier League,1996/1997,Aston Villa,West Ham,0,0
1593,Premier League,1996/1997,Blackburn,Wimbledon,3,1
1594,Premier League,1996/1997,Everton,Derby,1,0
1595,Premier League,1996/1997,Leicester,Middlesbrough,1,3
1596,Premier League,1996/1997,Man United,Sheffield Weds,2,0
1597,Premier League,1996/1997,Newcastle,Coventry,4,0
1598,Premier League,1996/1997,Nott'm Forest,Liverpool,1,1
1599,Premier League,1996/1997,Southampton,Arsenal,0,2
1600,Premier League,1996/1997,Tottenham,Leeds,1,0
1601,Premier League,1996/1997,Chelsea,Sunderland,6,2
1602,Premier League,1996/1997,Wimbledon,West Ham,1,1
1603,Premier League,1996/1997,Chelsea,Southampton,1,0
1604,Premier League,1996/1997,Leicester,Tottenham,1,1
1605,Premier League,1996/1997,Middlesbrough,Blackburn,2,1
1606,Premier League,1996/1997,Blackburn,Aston Villa,0,2
1607,Premier League,1996/1997,Coventry,West Ham,1,3
1608,Premier League,1996/1997,Derby,Tottenham,4,2
1609,Premier League,1996/1997,Everton,Man United,0,2
1610,Premier League,1996/1997,Middlesbrough,Chelsea,1,0
1611,Premier League,1996/1997,Sheffield Weds,Leeds,2,2
1612,Premier League,1996/1997,Southampton,Leicester,2,2
1613,Premier League,1996/1997,Sunderland,Nott'm Forest,1,1
1614,Premier League,1996/1997,Wimbledon,Newcastle,1,1
1615,Premier League,1996/1997,Arsenal,Liverpool,1,2
1616,Premier League,1996/1997,Middlesbrough,Nott'm Forest,1,1
1617,Premier League,1996/1997,Aston Villa,Everton,3,1
1618,Premier League,1996/1997,Chelsea,Arsenal,0,3
1619,Premier League,1996/1997,Man United,Derby,2,3
1620,Premier League,1996/1997,Newcastle,Sunderland,1,1
1621,Premier League,1996/1997,Nott'm Forest,Southampton,1,3
1622,Premier League,1996/1997,Tottenham,Wimbledon,1,0
1623,Premier League,1996/1997,Liverpool,Coventry,1,2
1624,Premier League,1996/1997,Leeds,Blackburn,0,0
1625,Premier League,1996/1997,Coventry,Chelsea,3,1
1626,Premier League,1996/1997,Derby,Southampton,1,1
1627,Premier League,1996/1997,Everton,Leicester,1,1
1628,Premier League,1996/1997,Sheffield Weds,Tottenham,2,1
1629,Premier League,1996/1997,West Ham,Middlesbrough,0,0
1630,Premier League,1996/1997,Wimbledon,Aston Villa,0,2
1631,Premier League,1996/1997,Arsenal,Leicester,2,0
1632,Premier League,1996/1997,Blackburn,Man United,2,3
1633,Premier League,1996/1997,Derby,Aston Villa,2,1
1634,Premier League,1996/1997,Everton,Tottenham,1,0
1635,Premier League,1996/1997,Southampton,West Ham,2,0
1636,Premier League,1996/1997,Sheffield Weds,Newcastle,1,1
1637,Premier League,1996/1997,Sunderland,Liverpool,1,2
1638,Premier League,1996/1997,Everton,Liverpool,1,1
1639,Premier League,1996/1997,Newcastle,Chelsea,3,1
1640,Premier League,1996/1997,Wimbledon,Leeds,2,0
1641,Premier League,1996/1997,Arsenal,Blackburn,1,1
1642,Premier League,1996/1997,Aston Villa,Tottenham,1,1
1643,Premier League,1996/1997,Chelsea,Leicester,2,1
1644,Premier League,1996/1997,Liverpool,Man United,1,3
1645,Premier League,1996/1997,Middlesbrough,Sunderland,0,1
1646,Premier League,1996/1997,Newcastle,Derby,3,1
1647,Premier League,1996/1997,Nott'm Forest,Leeds,1,1
1648,Premier League,1996/1997,Sheffield Weds,Wimbledon,3,1
1649,Premier League,1996/1997,Southampton,Coventry,2,2
1650,Premier League,1996/1997,West Ham,Everton,2,2
1651,Premier League,1996/1997,Coventry,Arsenal,1,1
1652,Premier League,1996/1997,Blackburn,Sheffield Weds,4,1
1653,Premier League,1996/1997,Leeds,Aston Villa,0,0
1654,Premier League,1996/1997,Sunderland,Southampton,0,1
1655,Premier League,1996/1997,Wimbledon,Chelsea,0,1
1656,Premier League,1996/1997,Derby,Nott'm Forest,0,0
1657,Premier League,1996/1997,Leicester,West Ham,0,1
1658,Premier League,1996/1997,Tottenham,Middlesbrough,1,0
1659,Premier League,1996/1997,Arsenal,Newcastle,0,1
1660,Premier League,1996/1997,Chelsea,Leeds,0,0
1661,Premier League,1996/1997,Coventry,Derby,1,2
1662,Premier League,1996/1997,Leicester,Man United,2,2
1663,Premier League,1996/1997,Liverpool,Tottenham,2,1
1664,Premier League,1996/1997,Middlesbrough,Aston Villa,3,2
1665,Premier League,1996/1997,Nott'm Forest,Wimbledon,1,1
1666,Premier League,1996/1997,Southampton,Blackburn,2,0
1667,Premier League,1996/1997,Sunderland,Everton,3,0
1668,Premier League,1996/1997,West Ham,Sheffield Weds,5,1
1669,Premier League,1996/1997,Man United,Middlesbrough,3,3
1670,Premier League,1996/1997,West Ham,Newcastle,0,0
1671,Premier League,1996/1997,Wimbledon,Liverpool,2,1
1672,Premier League,1996/1997,Leicester,Sheffield Weds,1,0
1673,Premier League,1996/1997,Blackburn,Middlesbrough,0,0
1674,Premier League,1996/1997,Man United,Newcastle,0,0
1675,Premier League,1996/1997,Aston Villa,Southampton,1,0
1676,Premier League,1996/1997,Blackburn,Leicester,2,4
1677,Premier League,1996/1997,Derby,Arsenal,1,3
1678,Premier League,1996/1997,Everton,Chelsea,1,2
1679,Premier League,1996/1997,Leeds,Middlesbrough,1,1
1680,Premier League,1996/1997,Man United,West Ham,2,0
1681,Premier League,1996/1997,Newcastle,Nott'm Forest,5,0
1682,Premier League,1996/1997,Sheffield Weds,Liverpool,1,1
1683,Premier League,1996/1997,Tottenham,Coventry,1,2
1684,Premier League,1996/1997,Wimbledon,Sunderland,1,0
1685,Premier League,1997/1998,Barnsley,West Ham,1,2
1686,Premier League,1997/1998,Blackburn,Derby,1,0
1687,Premier League,1997/1998,Coventry,Chelsea,3,2
1688,Premier League,1997/1998,Everton,Crystal Palace,1,2
1689,Premier League,1997/1998,Leeds,Arsenal,1,1
1690,Premier League,1997/1998,Leicester,Aston Villa,1,0
1691,Premier League,1997/1998,Newcastle,Sheffield Weds,2,1
1692,Premier League,1997/1998,Southampton,Bolton,0,1
1693,Premier League,1997/1998,Wimbledon,Liverpool,1,1
1694,Premier League,1997/1998,Tottenham,Man United,0,2
1695,Premier League,1997/1998,Arsenal,Coventry,2,0
1696,Premier League,1997/1998,Crystal Palace,Barnsley,0,1
1697,Premier League,1997/1998,Aston Villa,Blackburn,0,4
1698,Premier League,1997/1998,Liverpool,Leicester,1,2
1699,Premier League,1997/1998,Man United,Southampton,1,0
1700,Premier League,1997/1998,Sheffield Weds,Leeds,1,3
1701,Premier League,1997/1998,West Ham,Tottenham,2,1
1702,Premier League,1997/1998,Blackburn,Liverpool,1,1
1703,Premier League,1997/1998,Coventry,Bolton,2,2
1704,Premier League,1997/1998,Everton,West Ham,2,1
1705,Premier League,1997/1998,Leeds,Crystal Palace,0,2
1706,Premier League,1997/1998,Leicester,Man United,0,0
1707,Premier League,1997/1998,Newcastle,Aston Villa,1,0
1708,Premier League,1997/1998,Southampton,Arsenal,1,3
1709,Premier League,1997/1998,Tottenham,Derby,1,0
1710,Premier League,1997/1998,Wimbledon,Sheffield Weds,1,1
1711,Premier League,1997/1998,Barnsley,Chelsea,0,6
1712,Premier League,1997/1998,Blackburn,Sheffield Weds,7,2
1713,Premier League,1997/1998,Leeds,Liverpool,0,2
1714,Premier League,1997/1998,Barnsley,Bolton,2,1
1715,Premier League,1997/1998,Coventry,West Ham,1,1
1716,Premier League,1997/1998,Everton,Man United,0,2
1717,Premier League,1997/1998,Leicester,Arsenal,3,3
1718,Premier League,1997/1998,Southampton,Crystal Palace,1,0
1719,Premier League,1997/1998,Tottenham,Aston Villa,3,2
1720,Premier League,1997/1998,Wimbledon,Chelsea,0,2
1721,Premier League,1997/1998,Arsenal,Tottenham,0,0
1722,Premier League,1997/1998,Aston Villa,Leeds,1,0
1723,Premier League,1997/1998,Chelsea,Southampton,4,2
1724,Premier League,1997/1998,Crystal Palace,Blackburn,1,2
1725,Premier League,1997/1998,Derby,Barnsley,1,0
1726,Premier League,1997/1998,Man United,Coventry,3,0
1727,Premier League,1997/1998,Sheffield Weds,Leicester,1,0
1728,Premier League,1997/1998,West Ham,Wimbledon,3,1
1729,Premier League,1997/1998,Bolton,Everton,0,0
1730,Premier League,1997/1998,Arsenal,Bolton,4,1
1731,Premier League,1997/1998,Barnsley,Aston Villa,0,3
1732,Premier League,1997/1998,Coventry,Southampton,1,0
1733,Premier League,1997/1998,Crystal Palace,Chelsea,0,3
1734,Premier League,1997/1998,Derby,Everton,3,1
1735,Premier League,1997/1998,Leicester,Tottenham,3,0
1736,Premier League,1997/1998,Liverpool,Sheffield Weds,2,1
1737,Premier League,1997/1998,Man United,West Ham,2,1
1738,Premier League,1997/1998,Newcastle,Wimbledon,1,3
1739,Premier League,1997/1998,Blackburn,Leeds,3,4
1740,Premier League,1997/1998,Aston Villa,Derby,2,1
1741,Premier League,1997/1998,Bolton,Man United,0,0
1742,Premier League,1997/1998,Everton,Barnsley,4,2
1743,Premier League,1997/1998,Leeds,Leicester,0,1
1744,Premier League,1997/1998,Sheffield Weds,Coventry,0,0
1745,Premier League,1997/1998,Southampton,Liverpool,1,1
1746,Premier League,1997/1998,Tottenham,Blackburn,0,0
1747,Premier League,1997/1998,West Ham,Newcastle,0,1
1748,Premier League,1997/1998,Wimbledon,Crystal Palace,0,1
1749,Premier League,1997/1998,Chelsea,Arsenal,2,3
1750,Premier League,1997/1998,Liverpool,Aston Villa,3,0
1751,Premier League,1997/1998,Bolton,Tottenham,1,1
1752,Premier League,1997/1998,Wimbledon,Barnsley,4,1
1753,Premier League,1997/1998,Arsenal,West Ham,4,0
1754,Premier League,1997/1998,Coventry,Crystal Palace,1,1
1755,Premier League,1997/1998,Leicester,Blackburn,1,1
1756,Premier League,1997/1998,Man United,Chelsea,2,2
1757,Premier League,1997/1998,Newcastle,Everton,1,0
1758,Premier League,1997/1998,Sheffield Weds,Derby,2,5
1759,Premier League,1997/1998,Southampton,Leeds,0,2
1760,Premier League,1997/1998,Aston Villa,Sheffield Weds,2,2
1761,Premier League,1997/1998,Barnsley,Leicester,0,2
1762,Premier League,1997/1998,Chelsea,Newcastle,1,0
1763,Premier League,1997/1998,Crystal Palace,Bolton,2,2
1764,Premier League,1997/1998,Derby,Southampton,4,0
1765,Premier League,1997/1998,Everton,Arsenal,2,2
1766,Premier League,1997/1998,Leeds,Man United,1,0
1767,Premier League,1997/1998,Tottenham,Wimbledon,0,0
1768,Premier League,1997/1998,West Ham,Liverpool,2,1
1769,Premier League,1997/1998,Blackburn,Coventry,0,0
1770,Premier League,1997/1998,Arsenal,Barnsley,5,0
1771,Premier League,1997/1998,Bolton,Aston Villa,0,1
1772,Premier League,1997/1998,Coventry,Leeds,0,0
1773,Premier League,1997/1998,Man United,Crystal Palace,2,0
1774,Premier League,1997/1998,Newcastle,Tottenham,1,0
1775,Premier League,1997/1998,Sheffield Weds,Everton,3,1
1776,Premier League,1997/1998,Southampton,West Ham,3,0
1777,Premier League,1997/1998,Wimbledon,Blackburn,0,1
1778,Premier League,1997/1998,Liverpool,Chelsea,4,2
1779,Premier League,1997/1998,Leicester,Derby,1,2
1780,Premier League,1997/1998,Aston Villa,Wimbledon,1,2
1781,Premier League,1997/1998,Blackburn,Southampton,1,0
1782,Premier League,1997/1998,Chelsea,Leicester,1,0
1783,Premier League,1997/1998,Crystal Palace,Arsenal,0,0
1784,Premier League,1997/1998,Derby,Man United,2,2
1785,Premier League,1997/1998,Everton,Liverpool,2,0
1786,Premier League,1997/1998,Leeds,Newcastle,4,1
1787,Premier League,1997/1998,West Ham,Bolton,3,0
1788,Premier League,1997/1998,Tottenham,Sheffield Weds,3,2
1789,Premier League,1997/1998,Barnsley,Coventry,2,0
1790,Premier League,1997/1998,Derby,Wimbledon,1,1
1791,Premier League,1997/1998,Coventry,Everton,0,0
1792,Premier League,1997/1998,Liverpool,Derby,4,0
1793,Premier League,1997/1998,Man United,Barnsley,7,0
1794,Premier League,1997/1998,Newcastle,Blackburn,1,1
1795,Premier League,1997/1998,Sheffield Weds,Crystal Palace,1,3
1796,Premier League,1997/1998,Southampton,Tottenham,3,2
1797,Premier League,1997/1998,Wimbledon,Leeds,1,0
1798,Premier League,1997/1998,Arsenal,Aston Villa,0,0
1799,Premier League,1997/1998,Bolton,Chelsea,1,0
1800,Premier League,1997/1998,Leicester,West Ham,2,1
1801,Premier League,1997/1998,Aston Villa,Chelsea,0,2
1802,Premier League,1997/1998,Barnsley,Blackburn,1,1
1803,Premier League,1997/1998,Bolton,Liverpool,1,1
1804,Premier League,1997/1998,Derby,Arsenal,3,0
1805,Premier League,1997/1998,Man United,Sheffield Weds,6,1
1806,Premier League,1997/1998,Newcastle,Leicester,3,3
1807,Premier League,1997/1998,Tottenham,Leeds,0,1
1808,Premier League,1997/1998,Wimbledon,Coventry,1,2
1809,Premier League,1997/1998,Everton,Southampton,0,2
1810,Premier League,1997/1998,Blackburn,Everton,3,2
1811,Premier League,1997/1998,Coventry,Newcastle,2,2
1812,Premier League,1997/1998,Crystal Palace,Aston Villa,1,1
1813,Premier League,1997/1998,Leeds,Derby,4,3
1814,Premier League,1997/1998,Liverpool,Tottenham,4,0
1815,Premier League,1997/1998,Sheffield Weds,Bolton,5,0
1816,Premier League,1997/1998,Southampton,Barnsley,4,1
1817,Premier League,1997/1998,Arsenal,Man United,3,2
1818,Premier League,1997/1998,Chelsea,West Ham,2,1
1819,Premier League,1997/1998,Leicester,Wimbledon,0,1
1820,Premier League,1997/1998,Aston Villa,Everton,2,1
1821,Premier League,1997/1998,Blackburn,Chelsea,1,0
1822,Premier League,1997/1998,Derby,Coventry,3,1
1823,Premier League,1997/1998,Leicester,Bolton,0,0
1824,Premier League,1997/1998,Liverpool,Barnsley,0,1
1825,Premier League,1997/1998,Newcastle,Southampton,2,1
1826,Premier League,1997/1998,Sheffield Weds,Arsenal,2,0
1827,Premier League,1997/1998,Wimbledon,Man United,2,5
1828,Premier League,1997/1998,Leeds,West Ham,3,1
1829,Premier League,1997/1998,Tottenham,Crystal Palace,0,1
1830,Premier League,1997/1998,Chelsea,Everton,2,0
1831,Premier League,1997/1998,Barnsley,Leeds,2,3
1832,Premier League,1997/1998,Bolton,Wimbledon,1,0
1833,Premier League,1997/1998,Chelsea,Derby,4,0
1834,Premier League,1997/1998,Coventry,Leicester,0,2
1835,Premier League,1997/1998,Crystal Palace,Newcastle,1,2
1836,Premier League,1997/1998,Everton,Tottenham,0,2
1837,Premier League,1997/1998,Southampton,Sheffield Weds,2,3
1838,Premier League,1997/1998,West Ham,Aston Villa,2,1
1839,Premier League,1997/1998,Arsenal,Liverpool,0,1
1840,Premier League,1997/1998,Man United,Blackburn,4,0
1841,Premier League,1997/1998,Bolton,Newcastle,1,0
1842,Premier League,1997/1998,West Ham,Crystal Palace,4,1
1843,Premier League,1997/1998,Aston Villa,Coventry,3,0
1844,Premier League,1997/1998,Blackburn,Bolton,3,1
1845,Premier League,1997/1998,Derby,West Ham,2,0
1846,Premier League,1997/1998,Leeds,Everton,0,0
1847,Premier League,1997/1998,Leicester,Crystal Palace,1,1
1848,Premier League,1997/1998,Liverpool,Man United,1,3
1849,Premier League,1997/1998,Newcastle,Arsenal,0,1
1850,Premier League,1997/1998,Tottenham,Chelsea,1,6
1851,Premier League,1997/1998,Wimbledon,Southampton,1,0
1852,Premier League,1997/1998,Sheffield Weds,Barnsley,2,1
1853,Premier League,1997/1998,Arsenal,Blackburn,1,3
1854,Premier League,1997/1998,Barnsley,Newcastle,2,2
1855,Premier League,1997/1998,Chelsea,Leeds,0,0
1856,Premier League,1997/1998,Coventry,Tottenham,4,0
1857,Premier League,1997/1998,Crystal Palace,Liverpool,0,3
1858,Premier League,1997/1998,Everton,Wimbledon,0,0
1859,Premier League,1997/1998,Southampton,Leicester,2,1
1860,Premier League,1997/1998,West Ham,Sheffield Weds,1,0
1861,Premier League,1997/1998,Bolton,Derby,3,3
1862,Premier League,1997/1998,Man United,Aston Villa,1,0
1863,Premier League,1997/1998,Newcastle,Derby,0,0
1864,Premier League,1997/1998,Aston Villa,Southampton,1,1
1865,Premier League,1997/1998,Blackburn,West Ham,3,0
1866,Premier League,1997/1998,Derby,Crystal Palace,0,0
1867,Premier League,1997/1998,Leeds,Bolton,2,0
1868,Premier League,1997/1998,Leicester,Everton,0,1
1869,Premier League,1997/1998,Liverpool,Coventry,1,0
1870,Premier League,1997/1998,Sheffield Weds,Chelsea,1,4
1871,Premier League,1997/1998,Tottenham,Barnsley,3,0
1872,Premier League,1997/1998,Newcastle,Man United,0,1
1873,Premier League,1997/1998,Arsenal,Leicester,2,1
1874,Premier League,1997/1998,Aston Villa,Tottenham,4,1
1875,Premier League,1997/1998,Bolton,Barnsley,1,1
1876,Premier League,1997/1998,Chelsea,Wimbledon,1,1
1877,Premier League,1997/1998,Crystal Palace,Southampton,1,1
1878,Premier League,1997/1998,Derby,Newcastle,1,0
1879,Premier League,1997/1998,Liverpool,Leeds,3,1
1880,Premier League,1997/1998,Man United,Everton,2,0
1881,Premier League,1997/1998,Sheffield Weds,Blackburn,0,0
1882,Premier League,1997/1998,West Ham,Coventry,1,0
1883,Premier League,1997/1998,Barnsley,Derby,1,0
1884,Premier League,1997/1998,Blackburn,Crystal Palace,2,2
1885,Premier League,1997/1998,Coventry,Man United,3,2
1886,Premier League,1997/1998,Everton,Bolton,3,2
1887,Premier League,1997/1998,Leeds,Aston Villa,1,1
1888,Premier League,1997/1998,Leicester,Sheffield Weds,1,1
1889,Premier League,1997/1998,Newcastle,Liverpool,1,2
1890,Premier League,1997/1998,Tottenham,Arsenal,1,1
1891,Premier League,1997/1998,Wimbledon,West Ham,1,2
1892,Premier League,1997/1998,Southampton,Chelsea,1,0
1893,Premier League,1997/1998,Arsenal,Leeds,2,1
1894,Premier League,1997/1998,Aston Villa,Leicester,1,1
1895,Premier League,1997/1998,Bolton,Southampton,0,0
1896,Premier League,1997/1998,Chelsea,Coventry,3,1
1897,Premier League,1997/1998,Crystal Palace,Everton,1,3
1898,Premier League,1997/1998,Liverpool,Wimbledon,2,0
1899,Premier League,1997/1998,Man United,Tottenham,2,0
1900,Premier League,1997/1998,Sheffield Weds,Newcastle,2,1
1901,Premier League,1997/1998,West Ham,Barnsley,6,0
1902,Premier League,1997/1998,Derby,Blackburn,3,1
1903,Premier League,1997/1998,Barnsley,Crystal Palace,1,0
1904,Premier League,1997/1998,Blackburn,Aston Villa,5,0
1905,Premier League,1997/1998,Coventry,Arsenal,2,2
1906,Premier League,1997/1998,Leeds,Sheffield Weds,1,2
1907,Premier League,1997/1998,Leicester,Liverpool,0,0
1908,Premier League,1997/1998,Newcastle,Bolton,2,1
1909,Premier League,1997/1998,Tottenham,West Ham,1,0
1910,Premier League,1997/1998,Wimbledon,Derby,0,0
1911,Premier League,1997/1998,Everton,Chelsea,3,1
1912,Premier League,1997/1998,Southampton,Man United,1,0
1913,Premier League,1997/1998,Liverpool,Newcastle,1,0
1914,Premier League,1997/1998,Arsenal,Southampton,3,0
1915,Premier League,1997/1998,Bolton,Coventry,1,5
1916,Premier League,1997/1998,Chelsea,Barnsley,2,0
1917,Premier League,1997/1998,Crystal Palace,Leeds,0,2
1918,Premier League,1997/1998,Derby,Tottenham,2,1
1919,Premier League,1997/1998,Liverpool,Blackburn,0,0
1920,Premier League,1997/1998,Man United,Leicester,0,1
1921,Premier League,1997/1998,Sheffield Weds,Wimbledon,1,1
1922,Premier League,1997/1998,West Ham,Everton,2,2
1923,Premier League,1997/1998,Aston Villa,Newcastle,0,1
1924,Premier League,1997/1998,Barnsley,Everton,2,2
1925,Premier League,1997/1998,Blackburn,Tottenham,0,3
1926,Premier League,1997/1998,Coventry,Sheffield Weds,1,0
1927,Premier League,1997/1998,Derby,Aston Villa,0,1
1928,Premier League,1997/1998,Leicester,Leeds,1,0
1929,Premier League,1997/1998,Liverpool,Southampton,2,3
1930,Premier League,1997/1998,Man United,Bolton,1,1
1931,Premier League,1997/1998,Newcastle,West Ham,0,1
1932,Premier League,1997/1998,Arsenal,Chelsea,2,0
1933,Premier League,1997/1998,Crystal Palace,Wimbledon,0,3
1934,Premier League,1997/1998,Everton,Derby,1,2
1935,Premier League,1997/1998,Sheffield Weds,Liverpool,3,3
1936,Premier League,1997/1998,Tottenham,Leicester,1,1
1937,Premier League,1997/1998,Aston Villa,Man United,0,2
1938,Premier League,1997/1998,Southampton,Coventry,1,2
1939,Premier League,1997/1998,Arsenal,Crystal Palace,1,0
1940,Premier League,1997/1998,Bolton,West Ham,1,1
1941,Premier League,1997/1998,Coventry,Barnsley,1,0
1942,Premier League,1997/1998,Leicester,Chelsea,2,0
1943,Premier League,1997/1998,Man United,Derby,2,0
1944,Premier League,1997/1998,Sheffield Weds,Tottenham,1,0
1945,Premier League,1997/1998,Southampton,Blackburn,3,0
1946,Premier League,1997/1998,Wimbledon,Aston Villa,2,1
1947,Premier League,1997/1998,Newcastle,Leeds,1,1
1948,Premier League,1997/1998,Liverpool,Everton,1,1
1949,Premier League,1997/1998,Aston Villa,Liverpool,2,1
1950,Premier League,1997/1998,Barnsley,Wimbledon,2,1
1951,Premier League,1997/1998,Blackburn,Leicester,5,3
1952,Premier League,1997/1998,Chelsea,Man United,0,1
1953,Premier League,1997/1998,Crystal Palace,Coventry,0,3
1954,Premier League,1997/1998,Derby,Sheffield Weds,3,0
1955,Premier League,1997/1998,Everton,Newcastle,0,0
1956,Premier League,1997/1998,Leeds,Southampton,0,1
1957,Premier League,1997/1998,Tottenham,Bolton,1,0
1958,Premier League,1997/1998,West Ham,Arsenal,0,0
1959,Premier League,1997/1998,Leeds,Tottenham,1,0
1960,Premier League,1997/1998,Liverpool,Bolton,2,1
1961,Premier League,1997/1998,Sheffield Weds,Man United,2,0
1962,Premier League,1997/1998,Southampton,Everton,2,1
1963,Premier League,1997/1998,Chelsea,Aston Villa,0,1
1964,Premier League,1997/1998,Aston Villa,Barnsley,0,1
1965,Premier League,1997/1998,Chelsea,Crystal Palace,6,2
1966,Premier League,1997/1998,Leeds,Blackburn,4,0
1967,Premier League,1997/1998,West Ham,Man United,1,1
1968,Premier League,1997/1998,Wimbledon,Arsenal,0,1
1969,Premier League,1997/1998,Aston Villa,Crystal Palace,3,1
1970,Premier League,1997/1998,Barnsley,Southampton,4,3
1971,Premier League,1997/1998,Bolton,Sheffield Weds,3,2
1972,Premier League,1997/1998,Everton,Blackburn,1,0
1973,Premier League,1997/1998,Man United,Arsenal,0,1
1974,Premier League,1997/1998,Newcastle,Coventry,0,0
1975,Premier League,1997/1998,Tottenham,Liverpool,3,3
1976,Premier League,1997/1998,West Ham,Chelsea,2,1
1977,Premier League,1997/1998,Wimbledon,Leicester,2,1
1978,Premier League,1997/1998,Derby,Leeds,0,5
1979,Premier League,1997/1998,Newcastle,Crystal Palace,1,2
1980,Premier League,1997/1998,Arsenal,Sheffield Weds,1,0
1981,Premier League,1997/1998,Barnsley,Liverpool,2,3
1982,Premier League,1997/1998,Bolton,Leicester,2,0
1983,Premier League,1997/1998,Coventry,Derby,1,0
1984,Premier League,1997/1998,Crystal Palace,Tottenham,1,3
1985,Premier League,1997/1998,Everton,Aston Villa,1,4
1986,Premier League,1997/1998,Man United,Wimbledon,2,0
1987,Premier League,1997/1998,Southampton,Newcastle,2,1
1988,Premier League,1997/1998,West Ham,Leeds,3,0
1989,Premier League,1997/1998,Blackburn,Barnsley,2,1
1990,Premier League,1997/1998,Bolton,Arsenal,0,1
1991,Premier League,1997/1998,Wimbledon,Newcastle,0,0
1992,Premier League,1997/1998,Aston Villa,West Ham,2,0
1993,Premier League,1997/1998,Leeds,Barnsley,2,1
1994,Premier League,1997/1998,Leicester,Coventry,1,1
1995,Premier League,1997/1998,Sheffield Weds,Southampton,1,0
1996,Premier League,1997/1998,Tottenham,Everton,1,1
1997,Premier League,1997/1998,Wimbledon,Bolton,0,0
1998,Premier League,1997/1998,Derby,Chelsea,0,1
1999,Premier League,1997/1998,Blackburn,Man United,1,3
2000,Premier League,1997/1998,Leeds,Chelsea,3,1
2001,Premier League,1997/1998,Man United,Liverpool,1,1
2002,Premier League,1997/1998,Arsenal,Newcastle,3,1
2003,Premier League,1997/1998,Barnsley,Sheffield Weds,2,1
2004,Premier League,1997/1998,Bolton,Blackburn,2,1
2005,Premier League,1997/1998,Chelsea,Tottenham,2,0
2006,Premier League,1997/1998,Coventry,Aston Villa,1,2
2007,Premier League,1997/1998,Crystal Palace,Leicester,0,3
2008,Premier League,1997/1998,Everton,Leeds,2,0
2009,Premier League,1997/1998,Southampton,Wimbledon,0,1
2010,Premier League,1997/1998,West Ham,Derby,0,0
